Interval=,0.1 s,,,,,,,
ExcelDateTime=,4.43E+04,47:56.7,,,,,,
TimeFormat=,StartOfBlock,,,,,,,
DateFormat=,,,,,,,,
ChannelTitle=,Finger Pressure,Systolic,Mean Arterial,Diastolic,Heart Rate,DCS 1cm,DCS 3cm,
Range=,400 mmHg,400 mmHg,400 mmHg,400 mmHg,400 beats/min,400 BFI,400 BFI,
9.6,139.85,150,107,88,68,3.12E-09,8.31E-09,
9.7,122.4,150,107,88,68,5.24E-09,8.71E-09,
9.8,109.2,150,107,88,68,3.77E-09,5.88E-09,
9.9,112.8,150,107,88,68,2.72E-09,5.74E-09,
10,101.9,150.2,106.85,87.95,68.2,3.14E-09,3.16E-09,
10.1,96.5,154,104,87,72,2.37E-09,4.71E-09,
10.2,94.85,154,104,87,72,2.21E-09,2.89E-09,
10.3,97.1,154,104,87,72,2.09E-09,4.20E-09,
10.4,143.7,154,104,87,72,5.19E-09,1.05E-08,
10.5,125.35,154,104,87,72,5.79E-09,8.30E-09,
10.6,111.4,154,104,87,72,3.78E-09,6.29E-09,
10.7,114.75,154,104,87,72,3.02E-09,6.06E-09,
10.8,103,154.75,104.75,88,73.25,2.56E-09,7.55E-09,
10.9,97.45,157,107,91,77,2.88E-09,3.90E-09,
11,95.8,157,107,91,77,2.79E-09,4.85E-09,
11.1,92.7,157,107,91,77,1.80E-09,3.52E-09,
11.2,107.45,157,107,91,77,1.98E-09,4.02E-09,
11.3,144.55,157,107,91,77,6.24E-09,1.29E-08,
11.4,124.7,157,107,91,77,5.63E-09,8.21E-09,
11.5,110.7,157,107,91,77,3.01E-09,4.77E-09,
11.6,113.75,157,107,91,77,3.09E-09,7.24E-09,
11.7,101.6,157,107,91,77,3.23E-09,5.11E-09,
11.8,97.55,156.4,107.3,91.3,76.85,2.62E-09,5.54E-09,
11.9,95.6,153,109,93,76,2.04E-09,3.19E-09,
12,92.1,153,109,93,76,2.06E-09,3.92E-09,
12.1,102.7,153,109,93,76,2.20E-09,3.15E-09,
12.2,142.55,153,109,93,76,5.85E-09,9.76E-09,
12.3,120.1,153,109,93,76,4.05E-09,8.58E-09,
12.4,108.05,153,109,93,76,3.47E-09,5.42E-09,
12.5,111.75,150,109,92.4,71.2,2.99E-09,5.56E-09,
12.6,99.3,148,109,92,68,2.05E-09,5.23E-09,
12.7,95.35,148,109,92,68,2.04E-09,4.36E-09,
12.8,93.55,148,109,92,68,2.69E-09,3.40E-09,
12.9,90.75,148,109,92,68,2.34E-09,4.59E-09,
13,99.45,148,109,92,68,2.49E-09,3.91E-09,
13.1,136.4,148,109,92,68,5.69E-09,8.51E-09,
13.2,109.55,148,109,92,68,4.65E-09,1.04E-08,
13.3,102.9,148,109,92,68,2.98E-09,5.03E-09,
13.4,105.3,146.5,109,92,67,2.55E-09,4.57E-09,
13.5,93.85,145,109,92,66,3.20E-09,3.49E-09,
13.6,92.05,145,109,92,66,3.07E-09,4.56E-09,
13.7,90.2,145,109,92,66,2.18E-09,3.76E-09,
13.8,92.35,145,109,92,66,2.93E-09,5.45E-09,
13.9,135.1,145,109,92,66,4.57E-09,9.80E-09,
14,111.65,145,109,92,66,4.88E-09,7.62E-09,
14.1,101,145,109,92,66,3.14E-09,4.77E-09,
14.2,106.8,145,109,92,66,2.39E-09,5.30E-09,
14.3,94.8,145,108,91.5,66,2.33E-09,3.39E-09,
