Interval=	0.1 s						
ExcelDateTime=	4.43E+04	47:56.7					
TimeFormat=	StartOfBlock						
DateFormat=							
ChannelTitle=	Finger Pressure	Systolic	Mean Arterial	Diastolic	Heart Rate	DCS 1cm (e-09)	DCS 3cm (e-09)
Range=	400 mmHg	400 mmHg	400 mmHg	400 mmHg	400 beats/min	400 BFI	400 BFI
10.7	114.75	154	104	87	72	3.017253513	6.059059663
10.8	103	154.75	104.75	88	73.25	2.558193723	7.551431864
10.9	97.45	157	107	91	77	2.881481508	3.904707955
11	95.8	157	107	91	77	2.793710971	4.849531126
11.1	92.7	157	107	91	77	1.802349196	3.519457707
11.2	107.45	157	107	91	77	1.982915112	4.019596391
11.3	144.55	157	107	91	77	6.243165754	12.90862521
11.4	124.7	157	107	91	77	5.631386818	8.207921521
11.5	110.7	157	107	91	77	3.009332205	4.768390949
11.6	113.75	157	107	91	77	3.087376023	7.242496714
11.7	101.6	157	107	91	77	3.233051661	5.105894695
11.8	97.55	156.4	107.3	91.3	76.85	2.62354052	5.54486524
11.9	95.6	153	109	93	76	2.043233524	3.193527826
12	92.1	153	109	93	76	2.064259492	3.924390464
12.1	102.7	153	109	93	76	2.200728316	3.148691009
12.2	142.55	153	109	93	76	5.852220802	9.763078308
12.3	120.1	153	109	93	76	4.050721512	8.581911695
12.4	108.05	153	109	93	76	3.46791205	5.415672726
12.5	111.75	150	109	92.4	71.2	2.994213587	5.558717771
12.6	99.3	148	109	92	68	2.053829418	5.234987691
12.7	95.35	148	109	92	68	2.041026787	4.356482942
12.8	93.55	148	109	92	68	2.694266463	3.403761006
12.9	90.75	148	109	92	68	2.340521767	4.592763052
13	99.45	148	109	92	68	2.494348119	3.906046526
13.1	136.4	148	109	92	68	5.687126475	8.509195068
13.2	109.55	148	109	92	68	4.64598827	10.40699725
13.3	102.9	148	109	92	68	2.982718689	5.031578355
13.4	105.3	146.5	109	92	67	2.553698084	4.569082988
13.5	93.85	145	109	92	66	3.195585761	3.489692387
13.6	92.05	145	109	92	66	3.067120135	4.561605096
13.7	90.2	145	109	92	66	2.17615773	3.763635658
13.8	92.35	145	109	92	66	2.931055802	5.45187134
13.9	135.1	145	109	92	66	4.569693145	9.803821189
14	111.65	145	109	92	66	4.87773199	7.61509146
14.1	101	145	109	92	66	3.138101311	4.772115574
14.2	106.8	145	109	92	66	2.389149096	5.299030122
14.3	94.8	145	108	91.5	66	2.331359912	3.386159311
14.4	92.75	145	107	91	66	2.095757864	3.428972527
14.5	91.3	145	107	91	66	2.292549611	6.213575644
14.6	118	145	107	91	66	3.105795863	2.670164887
14.7	125.4	145	107	91	66	5.872721106	9.694254742
14.8	103.3	145	107	91	66	3.907546362	4.927276616
14.9	104.35	145	107	91	66	2.562143011	5.110476443
15	99.65	145	107	91	66	2.291632527	7.990787663
15.1	91.8	145.3	105.8	90.4	68.1	3.088535249	4.967613367
15.2	90.55	146	103	89	73	3.059398495	1.935253271
15.3	91.65	146	103	89	73	2.937926889	4.046976777
15.4	135.55	146	103	89	73	3.823135012	11.64063436
15.5	111.8	146	103	89	73	4.309421988	10.43733771
15.6	100.15	146	103	89	73	3.519564894	4.986944045
15.7	105.05	146	103	89	73	1.95045225	5.078885011
15.8	94.1	146	103	89	73	2.229261953	7.482888258
15.9	89.55	146	103	89	73	2.74253987	4.351752158
16	87.7	146.05	103	89	73	2.52265063	4.106158423
16.1	104.3	147	103	89	73	2.307305173	4.763917902
16.2	133.75	147	103	89	73	6.049050576	10.59876677
16.3	110.6	147	103	89	73	4.406512678	7.767853286
16.4	101.8	147	103	89	73	2.623736657	3.587100283
16.5	103.65	147	103	89	73	2.455760374	5.585060038
16.6	92.35	147.3	103.3	89.6	75.4	2.831251714	4.031029182
16.7	89.35	148	103.4	91	79.8	2.592546468	3.528418934
16.8	87.5	148	103	91	79	2.024820592	3.864997317
16.9	107.85	148	103	91	79	2.068259013	4.913155226
17	133.25	148	103	91	79	6.729361852	6.927748113
17.1	112.1	148	103	91	79	5.489030245	8.594997382
17.2	102.3	148	103	91	79	2.402467406	5.350540604
17.3	103.5	148	103	91	79	1.702856985	3.117788455
17.4	92.3	146.05	102.35	89.05	78.35	2.195503879	4.542350204
17.5	89.85	145	102	88	78	2.269366161	3.923423397
