Interval=	0.05 s
ExcelDateTime=	4.4588648064983885e+004	27/01/2022 15:33:12.814608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BraBP	TCD (cm/s)	ETCO2	LBNP Pressure	MAP
Range=	10.000 V	10.000 V	100.0000 mmHg	200.0 mV	100.0000 mmHg
UnitName=	mmHg	cm/s	*	*	*
TopValue=	621.60	160	*	*	*
BottomValue=	-584.98	-160	*	*	*
24.4	88.76512	79.53604	0.2827734	1.9385	87.78591
24.45	88.77795	73.28318	0.2827734	1.942125	87.78591
24.5	90.71149	71.35777	0.2827734	1.939375	87.78591
24.55	90.68095	69.67397	0.2827734	1.935625	87.78591
24.6	88.16786	66.90036	0.2827734	1.932	87.78591
24.65	85.22681	63.29765	0.2827734	1.93375	87.78591
24.7	82.97842	63.14588	0.2827734	1.935875	87.78591
24.75	81.38158	61.00697	0.2827734	1.931625	87.78591
24.8	80.14407	59.68074	0.2827734	1.935875	87.78591
24.85	79.00536	63.05064	0.2827734	1.9285	87.78591
24.9	78.28292	95.77092	0.2827734	1.92325	87.78591
24.95	77.54539	103.2297	0.2827734	1.927125	87.78591
25	76.27094	93.30246	0.2827734	1.924	87.78591
25.05	76.24379	93.1813	0.2710278	1.927625	87.78591
25.1	94.74865	87.34944	0.2475366	1.925875	87.78591
25.15	107.1048	76.2885	0.2475366	1.9265	87.62913
25.2	104.0703	82.12056	0.2475366	1.92925	87.31558
25.25	97.02646	81.04095	0.2475366	1.925	87.31558
25.3	90.36159	77.73148	0.2475366	1.92375	87.31558
25.35	85.3388	75.68772	0.2475366	1.927	87.31558
25.4	87.48878	70.5757	0.2475366	1.928625	87.31558
25.45	90.20963	68.16696	0.2475366	1.92975	87.31558
25.5	89.26209	66.54419	0.2475366	1.927875	87.31558
25.55	86.40587	62.11979	0.2475366	1.93275	87.31558
25.6	83.47877	61.48829	0.2475366	1.927	87.31558
25.65	81.53542	60.6452	0.2475366	1.925625	87.31558
25.7	80.18141	56.8513	0.2475366	1.930125	87.31558
25.75	79.03138	72.00988	0.2475366	1.92975	87.31558
25.8	78.05857	105.6982	0.2475366	1.927625	87.31558
25.85	76.92098	96.06847	0.2475366	1.9275	87.31558
25.9	75.75022	93.84512	0.2475366	1.929	87.31558
25.95	87.32816	92.21825	0.2475366	1.932125	87.31558
26	108.417	81.39952	0.2475366	1.937875	87.29881
26.05	107.2979	75.14496	0.2475366	1.9365	87.26527
26.1	101.4671	80.4979	0.2475366	1.935875	87.26527
26.15	94.57031	78.69484	0.2475366	1.9325	87.26527
26.2	87.64865	75.4474	0.2475366	1.933875	87.26527
26.25	86.28371	70.27455	0.2475366	1.929375	87.26527
26.3	89.14558	68.19677	0.2475366	1.932	87.26527
26.35	89.62519	66.00023	0.2475366	1.931875	87.26527
26.4	87.19543	61.54932	0.2467536	1.932875	87.26527
26.45	84.03644	58.65465	0.2451875	1.934875	87.26527
26.5	81.56407	57.39165	0.2451875	1.93275	87.26527
26.55	79.84658	55.82241	0.2451875	1.92725	87.26527
26.6	78.45033	53.41837	0.2451875	1.925625	87.26527
26.65	77.38326	54.02506	0.2451875	1.92525	87.26527
