Interval=	0.001 s
ExcelDateTime=	4.4588644429292355e+004	1/27/2022 15:27:58.69086
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	BraBP	TCD (cm/s)
Range=	100.00 mV	10.000 V	10.000 V
UnitName=	*	mmHg	cm/s
TopValue=	*	621.60	160
BottomValue=	*	-584.98	-160
56.86	1.5125	97.05738	76.703
56.861	1.459375	96.86885	76.703
56.862	1.465625	96.69917	76.713
56.863	1.425	96.64261	76.708
56.864	1.428125	96.37867	76.713
56.865	1.440625	96.28441	76.713
56.866	1.44375	96.00162	76.698
56.867	1.4125	96.00162	76.703
56.868	1.384375	95.71882	76.703
56.869	1.375	95.64341	76.713
56.87	1.41875	95.53029	76.703
56.871	1.4125	95.28521	76.703
56.872	1.41875	95.19094	76.69299
56.873	1.440625	95.00241	75.20229
56.874	1.40625	94.8893	75.21229
56.875	1.43125	94.70077	75.20229
56.876	1.440625	94.64421	75.19729
56.877	1.48125	94.47453	75.20729
56.878	1.46875	94.32371	75.20229
56.879	1.44375	94.32371	75.19228
56.88	1.440625	94.05977	75.20229
56.881	1.45625	94.07862	75.19729
56.882	1.434375	93.89009	75.19729
56.883	1.4625	93.81468	75.20229
56.884	1.4125	93.66386	75.21229
56.885	1.371875	93.55074	75.19729
56.886	1.378125	93.36221	75.20729
56.887	1.38125	93.15483	75.20229
56.888	1.415625	93.00401	75.20229
56.889	1.375	92.79663	76.703
56.89	1.4	92.62695	76.71801
56.891	1.41875	92.49498	76.708
56.892	1.446875	92.34416	76.698
56.893	1.475	92.3253	76.698
56.894	1.490625	92.06136	76.698
56.895	1.471875	92.08022	76.698
56.896	1.453125	91.85398	76.698
56.897	1.3875	91.70316	76.69299
56.898	1.434375	91.42036	76.703
56.899	1.453125	91.30725	76.703
56.9	1.440625	91.15642	76.703
56.901	1.384375	90.89248	76.708
56.902	1.359375	90.81707	76.708
56.903	1.390625	90.66625	76.708
56.904	1.4375	90.6474	76.713
56.905	1.446875	90.40231	79.70442
56.906	1.4375	90.27034	79.71442
56.907	1.390625	90.15722	79.70442
56.908	1.378125	90.0064	79.70942
56.909	1.515625	89.85557	79.70442
56.91	1.48125	89.76131	79.70442
56.911	1.50625	89.61049	79.71442
56.912	1.475	89.49737	79.71442
56.913	1.44375	89.44081	79.70442
56.914	1.4375	89.27114	79.71943
56.915	1.43125	89.08261	79.71943
56.916	1.440625	89.10146	79.71943
56.917	1.403125	88.81867	79.69942
56.918	1.365625	88.91293	79.70442
56.919	1.34375	88.6867	79.70942
56.92	1.3875	88.59243	79.70942
56.921	1.43125	88.38505	84.21155
56.922	1.43125	88.34734	84.21656
56.923	1.41875	88.30964	84.21155
56.924	1.375	88.19652	84.22156
56.925	1.421875	88.0834	84.21656
56.926	1.44375	87.97029	84.21656
56.927	1.459375	88.02684	84.21656
56.928	1.45625	87.93258	84.22156
56.929	1.421875	87.7252	84.22156
56.93	1.4	87.64979	84.20655
56.931	1.4125	87.49896	84.21656
56.932	1.434375	87.51782	84.21656
56.933	1.43125	87.36699	84.22656
56.934	1.415625	87.29158	84.21656
56.935	1.403125	87.17846	84.21155
56.936	1.359375	87.10305	84.20655
56.937	1.365625	87.02764	84.21656
56.938	1.396875	86.91452	84.21656
56.939	1.415625	86.83911	84.21155
56.94	1.4	86.65058	84.22156
56.941	1.409375	86.70714	84.22156
56.942	1.428125	86.65058	84.21656
56.943	1.434375	86.68829	84.21656
56.944	1.45	86.63173	84.21656
56.945	1.465625	86.51861	84.21656
56.946	1.471875	86.55632	84.22656
56.947	1.425	86.38664	84.21155
56.948	1.43125	86.33008	84.21656
56.949	1.4125	86.1227	84.22656
56.95	1.4125	86.10385	84.22656
56.951	1.371875	86.04729	84.21656
56.952	1.346875	86.02844	84.22156
56.953	1.353125	85.93417	84.22656
56.954	1.371875	85.8022	84.22656
56.955	1.378125	85.82106	84.21155
56.956	1.4	85.8022	84.21656
56.957	1.4	85.67023	84.21656
56.958	1.365625	85.63253	84.21656
56.959	1.446875	85.57597	84.22656
56.96	1.44375	85.51941	84.21656
56.961	1.453125	85.40629	84.20155
56.962	1.44375	85.34973	84.21656
56.963	1.409375	85.18006	84.21656
56.964	1.4	85.21776	84.21656
56.965	1.3875	85.1235	84.21656
56.966	1.43125	84.87841	84.22656
56.967	1.396875	84.91612	84.23156
56.968	1.353125	84.65218	84.20155
56.969	1.35	84.53906	84.21656
56.97	1.346875	84.31283	84.20655
56.971	1.378125	84.29397	84.22156
56.972	1.409375	84.04889	84.22156
56.973	1.371875	83.93577	84.20655
56.974	1.396875	83.8415	84.21656
56.975	1.428125	83.74724	84.22156
56.976	1.446875	83.61527	84.21656
56.977	1.43125	83.44559	84.21656
56.978	1.40625	83.35133	84.22156
56.979	1.46875	83.27592	84.22656
56.98	1.39375	83.01198	84.22156
56.981	1.4	82.95542	84.21155
56.982	1.453125	82.72918	84.21155
56.983	1.44375	82.65377	84.21656
56.984	1.378125	82.46524	81.20513
56.985	1.4	82.42754	81.21514
56.986	1.353125	82.2013	81.19513
56.987	1.4	82.12589	81.21013
56.988	1.396875	81.89966	81.21514
56.989	1.371875	81.74883	81.20513
56.99	1.403125	81.59801	81.21013
56.991	1.375	81.40948	81.21514
56.992	1.40625	81.39063	81.21514
56.993	1.43125	81.2398	81.19513
56.994	1.459375	81.14554	81.21013
56.995	1.4375	81.03242	81.21514
56.996	1.425	80.84389	81.19513
56.997	1.4	80.82504	81.20513
56.998	1.415625	80.59881	81.21514
56.999	1.428125	80.57995	81.21514
57	1.40625	80.35372	76.708
57.001	1.346875	80.44798	76.708
57.002	1.303125	80.25945	76.698
57.003	1.3125	80.2029	76.713
57.004	1.425	80.18404	76.713
57.005	1.403125	80.18404	76.708
57.006	1.390625	79.99551	76.69299
57.007	1.378125	79.93896	76.698
57.008	1.365625	79.84469	76.703
57.009	1.421875	79.75043	76.69299
57.01	1.453125	79.67502	76.703
57.011	1.446875	79.71272	76.69299
57.012	1.4125	79.5996	76.703
57.013	1.4125	79.65616	76.698
57.014	1.390625	79.44878	76.703
57.015	1.384375	79.61846	76.703
57.016	1.396875	79.52419	76.703
57.017	1.38125	79.52419	76.713
57.018	1.346875	79.52419	76.708
57.019	1.334375	79.50534	76.708
57.02	1.371875	79.5619	76.698
57.021	1.3875	79.58075	76.698
57.022	1.384375	79.52419	76.69299
57.023	1.403125	79.46763	76.708
57.024	1.365625	79.54304	76.69299
57.025	1.371875	79.50534	76.703
57.026	1.415625	79.58075	76.708
57.027	1.471875	79.52419	76.703
57.028	1.440625	79.44878	76.703
57.029	1.421875	79.5619	76.708
57.03	1.378125	79.52419	76.703
57.031	1.415625	79.48649	76.698
57.032	1.4125	79.52419	76.698
57.033	1.415625	79.48649	79.70442
57.034	1.38125	79.54304	79.70442
57.035	1.35625	79.44878	79.70942
57.036	1.30625	79.5996	79.70942
57.037	1.378125	79.5619	79.70442
57.038	1.384375	79.67502	79.70442
57.039	1.415625	79.78813	79.70442
57.04	1.375	79.76928	79.70442
57.041	1.371875	79.82584	79.71442
57.042	1.428125	79.80699	79.71943
57.043	1.409375	79.9201	79.71442
57.044	1.446875	79.95781	79.70442
57.045	1.43125	79.99551	79.72443
57.046	1.421875	80.01437	79.71442
57.047	1.384375	80.14634	79.70442
57.048	1.425	80.16519	79.70442
57.049	1.428125	80.18404	76.68299
57.05	1.409375	80.31601	76.713
57.051	1.365625	80.16519	76.703
57.052	1.371875	80.37257	76.708
57.053	1.353125	80.46684	76.698
57.054	1.36875	80.59881	76.703
57.055	1.390625	80.57995	76.69299
57.056	1.36875	80.57995	76.708
57.057	1.3875	80.61766	76.703
57.058	1.384375	80.69307	76.703
57.059	1.41875	80.69307	76.69299
57.06	1.45625	80.74963	76.703
57.061	1.4875	80.76848	76.703
57.062	1.43125	80.95701	76.69299
57.063	1.4125	80.97586	76.69299
57.064	1.396875	81.10783	76.698
57.065	1.371875	81.07013	76.703
57.066	1.409375	81.25866	76.698
57.067	1.365625	81.27751	76.713
57.068	1.390625	81.37178	76.713
57.069	1.315625	81.40948	76.69299
57.07	1.365625	81.42833	76.708
57.071	1.36875	81.48489	76.698
57.072	1.396875	81.5603	76.69299
57.073	1.390625	81.67342	76.703
57.074	1.375	81.69227	76.69299
57.075	1.39375	81.78654	76.68799
57.076	1.428125	81.89966	76.698
57.077	1.440625	81.97507	76.698
57.078	1.465625	82.22016	76.698
57.079	1.41875	82.29557	76.703
57.08	1.3875	82.38983	75.21229
57.081	1.4125	82.42754	75.20729
57.082	1.396875	82.5218	75.19228
57.083	1.409375	82.46524	75.20229
57.084	1.35625	82.50295	75.19228
57.085	1.3375	82.55951	75.19228
57.086	1.325	82.57836	75.20729
57.087	1.365625	82.61607	75.19228
57.088	1.384375	82.59721	75.19729
57.089	1.409375	82.61607	75.20729
57.09	1.378125	82.61607	75.21229
57.091	1.39375	82.72918	75.20229
57.092	1.396875	82.86115	75.20229
57.093	1.35625	82.8423	75.20229
57.094	1.43125	83.10624	75.20229
57.095	1.453125	83.10624	75.20229
57.096	1.403125	83.18165	73.93169
57.097	1.38125	83.1628	73.70158
57.098	1.4	83.33248	73.69658
57.099	1.43125	83.31362	73.69658
57.1	1.403125	83.40789	73.68657
57.101	1.375	83.521	73.70158
57.102	1.334375	83.55871	73.70158
57.103	1.340625	83.69068	73.69157
57.104	1.390625	83.72839	73.71158
57.105	1.396875	83.86036	73.70658
57.106	1.384375	83.87921	73.70158
57.107	1.36875	83.89806	73.68657
57.108	1.403125	83.93577	73.69658
57.109	1.45	83.97347	73.69157
57.11	1.459375	84.14315	73.69658
57.111	1.471875	84.01118	73.69658
57.112	1.41875	84.1243	72.17586
57.113	1.371875	84.162	72.19586
57.114	1.421875	84.10544	72.20587
57.115	1.390625	84.21856	72.20087
57.116	1.390625	84.162	72.19086
57.117	1.375	84.29397	72.19586
57.118	1.3875	84.23741	72.19586
57.119	1.309375	84.27512	72.20587
57.12	1.378125	84.21856	72.18586
57.121	1.38125	84.33168	72.19086
57.122	1.425	84.42594	72.19086
57.123	1.375	84.38824	72.18586
57.124	1.36875	84.4825	72.19086
57.125	1.40625	84.50135	72.19586
57.126	1.44375	84.57677	72.20087
57.127	1.45625	84.65218	72.19586
57.128	1.446875	84.46365	70.89525
57.129	1.43125	84.52021	70.69015
57.13	1.428125	84.50135	70.70516
57.131	1.39375	84.50135	70.69015
57.132	1.403125	84.40709	70.68515
57.133	1.415625	84.42594	70.69015
57.134	1.353125	84.23741	70.69015
57.135	1.359375	84.35053	70.69015
57.136	1.346875	84.27512	70.69515
57.137	1.375	84.27512	70.69015
57.138	1.403125	84.18086	70.68015
57.139	1.415625	84.162	70.69515
57.14	1.390625	84.23741	70.69015
57.141	1.378125	84.18086	70.68015
57.142	1.36875	84.03003	70.69015
57.143	1.415625	83.93577	70.69515
57.144	1.45	83.87921	70.69015
57.145	1.428125	83.99233	70.68515
57.146	1.44375	83.8415	70.69015
57.147	1.38125	83.93577	70.69015
57.148	1.428125	83.69068	70.68515
57.149	1.425	83.78494	70.68015
57.15	1.415625	83.74724	70.68515
57.151	1.353125	83.70953	70.68015
57.152	1.334375	83.61527	70.69515
57.153	1.35625	83.4833	70.69515
57.154	1.36875	83.44559	70.68015
57.155	1.415625	83.4833	70.70016
57.156	1.428125	83.44559	70.69015
57.157	1.390625	83.38903	70.68515
57.158	1.384375	83.38903	70.68015
57.159	1.425	83.37018	70.69015
57.16	1.453125	83.33248	70.69515
57.161	1.4875	83.33248	70.69515
57.162	1.4625	83.14395	70.68515
57.163	1.40625	83.1628	70.68515
57.164	1.3875	83.01198	70.68515
57.165	1.409375	82.99312	70.68015
57.166	1.403125	82.93656	70.70016
57.167	1.375	82.88001	70.69015
57.168	1.353125	82.88001	70.69515
57.169	1.346875	82.78574	70.69015
57.17	1.353125	82.88001	69.17443
57.171	1.359375	82.76689	69.18444
57.172	1.38125	82.67262	69.17944
57.173	1.378125	82.71033	69.18944
57.174	1.36875	82.61607	69.18444
57.175	1.359375	82.69148	69.18944
57.176	1.396875	82.5218	69.17944
